725628	Brewster Field Arpt	40.450001	-99.333000
725040	Bridgeport Sikorsky Memorial	41.182999	-73.150002
723183	Bristol Tri City Airport	36.466999	-82.400002
725555	Broken Bow Muni	41.432999	-99.650002
726515	Brookings (awos)	44.299999	-96.817001
724699	Broomfield/jeffco [boulder - Surfrad]	40.130001	-105.24000
722500	Brownsville S Padre Isl Intl	25.900000	-97.432999
722136	Brunswick Golden Is	31.250000	-81.467003
722137	Brunswick Malcolm Mckinnon Ap	31.150000	-81.383003
724756	Bryce Cnyn Faa Ap	37.700001	-112.15000
725280	Buffalo Niagara Intl Ap	42.932999	-78.733002
722880	Burbank-glendale-passadena Ap	34.200001	-118.35000
725245	Burke Lakefront	41.516998	-81.682999
725867	Burley Municipal Arpt	42.533001	-113.76700
726170	Burlington International Ap	44.466999	-73.150002
725455	Burlington Municipal Ap	40.783001	-91.116997
726830	Burns Municipal Arpt [uo]	43.520000	-119.02000
725124	Butler Co. (awos)	40.783001	-79.949997
726785	Butte Bert Mooney Arpt	45.950001	-112.50000
726384	Cadillac Wexford Co Ap	44.283001	-85.417000
725314	Cahokia/st. Louis	38.567001	-90.150002
722269	Cairns Field Fort Rucker	31.267000	-85.717003
726813	Caldwell (awos)	43.632999	-116.63300
724094	Caldwell/essex Co.	40.882999	-74.282997
723926	Camarillo (awos)	34.216999	-119.08300
727503	Cambridge Muni	45.567001	-93.266998
722544	Camp Mabry	30.316999	-97.766998
722926	Camp Pendleton Mcas	33.299999	-117.35000
723489	Cape Girardeau Municipal Ap	37.233002	-89.567001
723040	Cape Hatteras Nws Bldg	35.266998	-75.550003
745966	Cape May Co	39	-74.917000
727120	Caribou Municipal Arpt	46.867001	-68.032997
722687	Carlsbad Cavern City Air Term	32.333000	-104.26700
722927	Carlsbad/palomar	33.132999	-117.28300
725468	Carroll	42.049999	-94.782997
722748	Casa Granda (awos)	32.950001	-111.76700
725690	Casper Natrona Co Intl Ap	42.900002	-106.46700
724755	Cedar City Municipal Ap	37.700001	-113.10000
725450	Cedar Rapids Municipal Ap	41.882999	-91.717003
724397	Central Illinois Rg	40.466999	-88.917000
725636	Chadron Municipal Ap	42.833000	-103.08300
726525	Chan Gurney Muni	42.917000	-97.383003
724507	Chanute Martin Johnson Ap	37.667000	-95.483002
725469	Chariton	41.033001	-93.366997
725463	Charles City	43.067001	-92.616997
722080	Charleston Intl Arpt	32.900002	-80.032997
724140	Charleston Yeager Arpt	38.382999	-81.583000
785430	Charlotte Amalie Harry S Trum	18.350000	-64.967003
723140	Charlotte Douglas Intl Arpt	35.216999	-80.949997
724016	Charlottesville Faa	38.132999	-78.449997
723240	Chattanooga Lovell Field Ap	35.033001	-85.199997
723090	Cherry Point Mcas	34.900002	-76.883003
725640	Cheyenne Municipal Arpt	41.150002	-104.80000
725340	Chicago Midway Ap	41.783001	-87.750000
725300	Chicago Ohare Intl Ap	41.983002	-87.917000
725347	Chicago/waukegan	42.417000	-87.866997
744910	Chicopee Falls Westo	42.200001	-72.532997
723604	Childress Municipal Ap	34.432999	-100.28300
746120	China Lake Naf	35.682999	-117.68300
722899	Chino Airport	33.966999	-117.63300
727344	Chippewa Co Intl	46.250000	-84.467003
722904	Chula Vista Brown Field Naas	32.583000	-116.98300
702606	Chulitna	62.882999	-149.83299
724297	Cincinnati Municipal Ap Lunki	39.099998	-84.417000
724210	Cincinnati Northern Ky Ap	39.049999	-84.667000
725479	Clarinda	40.716999	-95.032997
723600	Clayton Municipal Airpark	36.450001	-103.15000
725240	Cleveland Hopkins Intl Ap	41.400002	-81.849998
725473	Clinton Muni (awos)	41.833000	-90.333000
723526	Clinton-sherman	35.333000	-99.199997
726558	Cloquet (awos)	46.700001	-92.500000
722686	Clovis Cannon Afb	34.382999	-103.31700
722689	Clovis Muni  (awos)	34.432999	-103.08300
726700	Cody Muni (awos)	44.516998	-109.01700
727834	Coeur D`alene(awos)	47.766998	-116.81700
703160	Cold Bay Arpt	55.200001	-162.71700
722445	College Station Easterwood Fl	30.583000	-96.366997
724660	Colorado Springs Muni Ap	38.817001	-104.71700
723100	Columbia Metro Arpt	33.950001	-81.116997
724450	Columbia Regional Airport	38.817001	-92.217003
723306	Columbus Afb	33.650002	-88.449997
722255	Columbus Metropolitan Arpt	32.516998	-84.949997
725565	Columbus Muni	41.450001	-97.333000
724280	Columbus Port Columbus Intl A	39.983002	-82.883003
724936	Concord Concord-buchanan Fiel	38	-122.05000
726050	Concord Municipal Arpt	43.200001	-71.500000
724580	Concordia Blosser Muni Ap	39.549999	-97.650002
702960	Cordova	60.500000	-145.50000
722510	Corpus Christi Intl Arpt [ut]	27.879999	-97.629997
722515	Corpus Christi Nas	27.683001	-97.282997
724767	Cortez/montezuma Co	37.299999	-108.63300
726945	Corvallis Muni	44.483002	-123.28300
722526	Cotulla Faa Ap	28.450001	-99.217003
725497	Council Bluffs	41.266998	-95.766998
722587	Cox Fld	33.632999	-95.449997
725700	Craig-moffat	40.500000	-107.53300
727473	Crane Lake (awos)	46.266998	-92.567001
725946	Crescent City Faa Ai	41.783001	-124.23300
725474	Creston	41.016998	-94.366997
722215	Crestview Bob Sikes Ap	30.783001	-86.516998
727452	Crookston Muni Fld	47.849998	-96.616997
723265	Crossville Memorial Ap	35.950001	-85.083000
727796	Cut Bank Muni Ap	48.599998	-112.36700
723815	Daggett Barstow-daggett Ap	34.849998	-116.80000
